,  5656
304,   416
296,   420
296,   416
296,   416
308,   404
300,   416
296,   416
300,   412
300,   416
296,   416
300,   412
300,  3764
676,   416
676,   416
304,   788
676,   424
672,   420
296,   800
296,   796
672,   424
296,   796
296,   800
668,   424
296,   800
668,   424
296,   796
296,   800
296,   796
672,   424
668,   424
672,   424
668,   424
296,   796
668,   424
668,   424
296,   800
296,   804
656,   428
288,   804
296,   804
664,   432
656,   436
656,   432
668,   432
288,   800
296,   804
288,   808
648,   440
288,   804
284,   812
288,   804
656,   440
280,   820
272,   812
652,   448
648,   444
272,   820
272,   820
276,   820
648,   444
648,   444
272,   820
280,   812
656,   440
656,   436
648,   448
648,   444
648,   448
648,   452
640,   452
644,   452
640,   452
644,   452
264,   828
640,   456
637,   452
638,   456
639, 15012
245,   476
247,   476
244,   476
244,   476
240,   476
244,   480
244,   476
244,   476
244,   476
244,   480
244,   476
244,  3840
600,   480
612,   488
236,   856
612,   480
612,   484
236,   856
236,   860
600,   500
600,   484
